,CustomerID,Recency(Days),Frequency,Monetory,Recency(Days)Score,FrequencyScore,MonetoryScore,RFM,Loyality_Level
49,51,79,109,1385284,3,1,1,5,Platinum
50,52,309,25,61000,4,3,3,10,Silver
51,53,75,58,157322,3,2,2,7,Gold
52,54,68,36,81494,3,3,3,9,Silver
53,55,219,15,57781,4,4,3,11,Bronze
54,56,25,699,14385095,2,1,1,4,Platinum
55,57,4,183,392340,1,1,1,3,Platinum
56,58,113,34,86360,3,3,2,8,Gold
57,59,65,29,80913,3,3,3,9,Silver
58,60,16,41,87913,1,3,2,6,Gold
59,61,96,38,91062,3,3,2,8,Gold
60,62,3,117,229979,1,1,1,3,Platinum
61,63,163,30,200188,4,3,2,9,Silver
62,64,79,36,97807,3,3,2,8,Gold
63,65,195,29,62672,4,3,3,10,Silver
64,66,24,28,101608,2,3,2,7,Gold
65,67,26,287,804536,2,1,1,4,Platinum
66,68,10,94,407444,1,2,1,4,Platinum
67,69,45,10,27584,2,4,4,10,Silver
68,70,38,234,795826,2,1,1,4,Platinum
69,71,43,107,526849,2,1,1,4,Platinum
70,72,1,420,1870543,1,1,1,3,Platinum
71,73,85,50,99632,3,2,2,7,Gold
72,74,80,36,896714,3,3,1,7,Gold
73,75,102,15,52453,3,4,3,10,Silver
74,76,3,184,566503,1,1,1,3,Platinum
75,77,15,96,304853,1,2,1,4,Platinum
76,78,367,10,21144,4,4,4,12,Bronze
77,79,4,11,21598,1,4,4,9,Silver
78,80,22,173,465037,2,1,1,4,Platinum
79,81,25,3,9948,2,4,4,10,Silver
80,82,58,57,117966,3,2,2,7,Gold
81,83,244,25,53855,4,3,3,10,Silver
82,84,45,21,48432,2,3,3,8,Gold
83,85,23,187,435921,2,1,1,4,Platinum
84,86,163,8,26814,4,4,4,12,Bronze
85,87,12,353,1230748,1,1,1,3,Platinum
86,88,17,20,41312,1,3,3,7,Gold
87,89,135,43,95624,3,2,2,7,Gold
88,90,57,15,389836,3,4,1,8,Gold
89,91,74,85,335450,3,2,1,6,Gold
90,92,45,122,331818,2,1,1,4,Platinum
91,93,73,60,251417,3,2,1,6,Gold
92,94,73,36,108842,3,3,2,8,Gold
93,95,155,34,76450,4,3,3,10,Silver
94,96,19,60,124824,1,2,2,5,Platinum
95,97,54,79,164513,3,2,2,7,Gold
96,98,11,22,99624,1,3,2,6,Gold
97,99,19,45,88594,1,2,2,5,Platinum
98,100,188,36,85862,4,3,3,10,Silver
99,101,3,438,2049141,1,1,1,3,Platinum
100,102,33,332,820111,2,1,1,4,Platinum
101,103,54,161,391713,3,1,1,5,Platinum
102,104,18,408,919351,1,1,1,3,Platinum
103,105,54,35,95322,3,3,2,8,Gold
104,106,16,224,724773,1,1,1,3,Platinum
105,107,23,300,1499405,2,1,1,4,Platinum
106,108,4,35,68029,1,3,3,7,Gold
107,109,12,30,63304,1,3,3,7,Gold
108,110,29,150,375459,2,1,1,4,Platinum
109,111,23,209,674016,2,1,1,4,Platinum
110,112,18,68,249088,1,2,1,4,Platinum
111,113,36,342,508503,2,1,1,4,Platinum
112,114,10,54,155349,1,2,2,5,Platinum
113,115,337,14,35243,4,4,4,12,Bronze
114,116,6,235,631870,1,1,1,3,Platinum
115,117,39,25,57912,2,3,3,8,Gold
116,118,65,18,32436,3,3,4,10,Silver
117,119,166,21,52584,4,3,3,10,Silver
118,120,16,71,145236,1,2,2,5,Platinum
119,121,82,13,162800,3,4,2,9,Silver
120,122,22,21,41174,2,3,3,8,Gold
121,123,24,52,544504,2,2,1,5,Platinum
122,124,337,148,283173,4,1,1,6,Gold
123,125,96,142,335427,3,1,1,5,Platinum
124,127,19,8,46139,1,4,3,8,Gold
125,129,234,23,8398,4,3,4,11,Bronze
126,130,135,20,136785,3,3,2,8,Gold
127,131,27,69,53515,2,2,3,7,Gold
128,132,288,6,17688,4,4,4,12,Bronze
129,133,145,31,100745,4,3,2,9,Silver
130,134,67,34,18915,3,3,4,10,Silver
131,135,113,34,79676,3,3,3,9,Silver
132,136,268,51,125408,4,2,2,8,Gold
133,137,354,15,35685,4,4,4,12,Bronze
134,138,78,24,160118,3,3,2,8,Gold
135,139,29,281,302273,2,1,1,4,Platinum
136,140,1,119,253627,1,1,1,3,Platinum
137,141,65,17,35580,3,4,4,11,Bronze
138,142,80,147,311756,3,1,1,5,Platinum
139,143,143,37,68427,3,3,3,9,Silver
140,144,40,10,29723,2,4,4,10,Silver
141,145,20,102,212349,2,1,1,4,Platinum
142,146,15,136,593226,1,1,1,3,Platinum
143,147,1,68,151615,1,2,2,5,Platinum
144,148,86,17,46012,3,4,3,10,Silver
145,149,10,86,204647,1,2,2,5,Platinum
146,150,60,62,191646,3,2,2,7,Gold
147,151,15,17,14983,1,4,4,9,Silver
148,152,31,15,38806,2,4,4,10,Silver
149,153,131,62,131589,3,2,2,7,Gold
150,154,92,34,85411,3,3,3,9,Silver
151,155,60,259,579052,3,1,1,5,Platinum
152,156,30,21,45271,2,3,3,8,Gold
153,157,23,273,662579,2,1,1,4,Platinum
154,158,20,461,1500798,2,1,1,4,Platinum
155,159,30,49,119829,2,2,2,6,Gold
156,160,37,18,36682,2,3,4,9,Silver
157,161,76,48,109849,3,2,2,7,Gold
158,162,47,67,134154,2,2,2,6,Gold
159,163,207,6,21996,4,4,4,12,Bronze
160,164,167,4,8088,4,4,4,12,Bronze
161,165,80,56,111488,3,2,2,7,Gold
162,166,358,10,21970,4,4,4,12,Bronze
163,167,40,19,38249,2,3,4,9,Silver
164,168,9,182,424920,1,1,1,3,Platinum
165,169,51,121,78463,2,1,3,6,Gold
166,170,21,27,544128,2,3,1,6,Gold
167,171,9,11,38522,1,4,4,9,Silver
168,172,314,20,66350,4,3,3,10,Silver
169,173,6,103,242772,1,1,1,3,Platinum
170,174,304,16,29545,4,4,4,12,Bronze
171,175,10,161,426744,1,1,1,3,Platinum
172,176,263,20,46932,4,3,3,10,Silver
173,177,289,9,18526,4,4,4,12,Bronze
174,178,87,18,43596,3,3,3,9,Silver
175,179,23,438,1068073,2,1,1,4,Platinum
176,180,4,157,403568,1,1,1,3,Platinum
177,181,40,34,80348,2,3,3,8,Gold
178,182,9,58,112008,1,2,2,5,Platinum
179,183,228,28,19601,4,3,4,11,Bronze
180,184,316,10,21914,4,4,4,12,Bronze
181,185,36,88,179968,2,2,2,6,Gold
182,186,36,146,91914,2,1,2,5,Platinum
183,187,22,112,305723,2,1,1,4,Platinum
184,188,79,28,51894,3,3,3,9,Silver
185,189,247,23,48818,4,3,3,10,Silver
186,190,40,14,26300,2,4,4,10,Silver
187,191,239,20,49548,4,3,3,10,Silver
188,192,3,232,940065,1,1,1,3,Platinum
189,193,6,95,245289,1,2,1,4,Platinum
190,194,235,85,253024,4,2,1,7,Gold
191,195,18,11,21761,1,4,4,9,Silver
192,196,9,3,11840,1,4,4,9,Silver
193,197,40,9,19257,2,4,4,10,Silver
194,198,30,33,72872,2,3,3,8,Gold
195,199,212,67,1126330,4,2,1,7,Gold
196,200,318,25,48876,4,3,3,10,Silver
197,201,94,16,56894,3,4,3,10,Silver
198,202,110,20,49189,3,3,3,9,Silver
199,203,47,114,406263,2,1,1,4,Platinum
200,204,52,25,73777,2,3,3,8,Gold
201,205,20,202,434069,2,1,1,4,Platinum
202,206,10,127,381333,1,1,1,3,Platinum
203,207,30,55,136620,2,2,2,6,Gold
204,208,29,54,266897,2,2,1,5,Platinum
205,209,192,23,61550,4,3,3,10,Silver
206,210,60,12,22148,3,4,4,11,Bronze
207,211,25,1,66584,2,4,3,9,Silver
208,212,81,15,32404,3,4,4,11,Bronze
209,214,61,101,221218,3,1,1,5,Platinum
210,215,79,57,128931,3,2,2,7,Gold
211,216,24,102,225048,2,1,1,4,Platinum
212,217,53,65,163374,3,2,2,7,Gold
213,218,75,18,78896,3,3,3,9,Silver
214,219,58,149,390308,3,1,1,5,Platinum
215,220,278,20,35371,4,3,4,11,Bronze
216,221,3,101,273666,1,1,1,3,Platinum
217,222,96,30,76578,3,3,3,9,Silver
218,223,30,42,45614,2,2,3,7,Gold
219,224,22,10,17462,2,4,4,10,Silver
220,225,18,82,465339,1,2,1,4,Platinum
221,226,15,91,192194,1,2,2,5,Platinum
222,227,2,449,1584405,1,1,1,3,Platinum
223,228,233,10,19714,4,4,4,12,Bronze
224,229,277,17,34377,4,4,4,12,Bronze
225,230,107,36,74810,3,3,3,9,Silver
226,231,212,84,312048,4,2,1,7,Gold
227,232,24,285,766691,2,1,1,4,Platinum
228,233,11,224,547037,1,1,1,3,Platinum
229,234,5,38,94297,1,3,2,6,Gold
230,235,10,62,133115,1,2,2,5,Platinum
231,236,58,30,59362,3,3,3,9,Silver
232,237,59,97,255699,3,2,1,6,Gold
233,238,90,99,207962,3,2,2,7,Gold
234,239,68,387,745760,3,1,1,5,Platinum
235,240,34,38,83074,2,3,3,8,Gold
236,241,239,21,45669,4,3,3,10,Silver
237,242,25,50,111655,2,2,2,6,Gold
238,243,116,9,17803,3,4,4,11,Bronze
239,244,27,44,117382,2,2,2,6,Gold
240,245,130,17,291394,3,4,1,8,Gold
241,246,130,31,67129,3,3,3,9,Silver
242,247,34,69,212202,2,2,1,5,Platinum
243,248,5,45,182772,1,2,2,5,Platinum
244,249,23,110,394423,2,1,1,4,Platinum
245,250,155,20,35705,4,3,4,11,Bronze
246,251,108,29,80028,3,3,3,9,Silver
247,252,4,19,35984,1,3,4,8,Gold
248,253,336,9,16065,4,4,4,12,Bronze
249,254,332,47,101474,4,2,2,8,Gold
250,255,149,43,266350,4,2,1,7,Gold
251,256,13,34,65543,1,3,3,7,Gold
252,257,19,121,451870,1,1,1,3,Platinum
253,258,12,44,188592,1,2,2,5,Platinum
254,259,19,35,77407,1,3,3,7,Gold
255,260,31,4,11160,2,4,4,10,Silver
256,261,13,12,30294,1,4,4,9,Silver
257,262,1,220,458759,1,1,1,3,Platinum
258,263,10,28,511104,1,3,1,5,Platinum
259,264,333,2,6252,4,4,4,12,Bronze
260,266,59,32,70122,3,3,3,9,Silver
261,267,12,157,393219,1,1,1,3,Platinum
262,268,151,98,200790,4,2,2,8,Gold
263,269,11,87,350458,1,2,1,4,Platinum
264,270,331,10,26968,4,4,4,12,Bronze
265,271,6,41,76200,1,3,3,7,Gold
266,272,40,79,245256,2,2,1,5,Platinum
267,273,26,39,147640,2,3,2,7,Gold
268,274,43,156,2011928,2,1,1,4,Platinum
269,275,60,44,123406,3,2,2,7,Gold
270,276,1,49,97967,1,2,2,5,Platinum
271,277,16,616,1608655,1,1,1,3,Platinum
272,278,4,496,1396584,1,1,1,3,Platinum
273,279,5,331,1000877,1,1,1,3,Platinum
274,280,11,98,323115,1,2,1,4,Platinum
275,281,29,151,329227,2,1,1,4,Platinum
276,282,375,6,11570,4,4,4,12,Bronze
277,283,114,171,631238,3,1,1,5,Platinum
278,284,26,70,148131,2,2,2,6,Gold
279,285,206,15,39598,4,4,3,11,Bronze
280,286,36,27,114558,2,3,2,7,Gold
281,287,128,35,83193,3,3,3,9,Silver
282,288,71,35,103693,3,3,2,8,Gold
283,289,9,27,69255,1,3,3,7,Gold
284,290,29,38,101799,2,3,2,7,Gold
285,291,8,264,614008,1,1,1,3,Platinum
286,292,80,51,100749,3,2,2,7,Gold
287,293,20,11,23052,2,4,4,10,Silver
288,294,72,20,33674,3,3,4,10,Silver
289,295,9,81,235070,1,2,1,4,Platinum
290,296,16,328,847355,1,1,1,3,Platinum
291,297,292,33,72796,4,3,3,10,Silver
292,298,33,147,305092,2,1,1,4,Platinum
293,299,16,203,1149304,1,1,1,3,Platinum
294,300,97,74,146330,3,2,2,7,Gold
295,301,29,120,440270,2,1,1,4,Platinum
296,302,1,37,106928,1,3,2,6,Gold
297,303,10,254,575673,1,1,1,3,Platinum
298,304,107,20,37608,3,3,4,10,Silver
299,305,4,67,131467,1,2,2,5,Platinum
300,306,152,53,110145,4,2,2,8,Gold
301,307,72,18,32715,3,3,4,10,Silver
302,308,6,37,76914,1,3,3,7,Gold
303,309,3,342,747446,1,1,1,3,Platinum
304,310,32,155,335926,2,1,1,4,Platinum
305,311,90,52,129420,3,2,2,7,Gold
306,312,4,68,91023,1,2,2,5,Platinum
307,313,7,49,115089,1,2,2,5,Platinum
308,314,372,23,43142,4,3,3,10,Silver
309,315,29,117,390149,2,1,1,4,Platinum
310,316,11,132,443366,1,1,1,3,Platinum
311,317,72,42,91772,3,2,2,7,Gold
312,318,114,25,55630,3,3,3,9,Silver
313,319,24,273,2308964,2,1,1,4,Platinum
314,320,180,11,26680,4,4,4,12,Bronze
315,321,235,22,43360,4,3,3,10,Silver
316,322,356,4,17596,4,4,4,12,Bronze
317,323,317,41,87299,4,3,2,9,Silver
318,324,333,3,24024,4,4,4,12,Bronze
319,325,373,10,21355,4,4,4,12,Bronze
320,326,100,37,122634,3,3,2,8,Gold
321,327,64,27,62408,3,3,3,9,Silver
322,328,135,134,67823,3,1,3,7,Gold
323,329,57,215,1189651,3,1,1,5,Platinum
324,330,3,103,479956,1,1,1,3,Platinum
325,331,1,4580,4466106,1,1,1,3,Platinum
326,332,4,199,492592,1,1,1,3,Platinum
327,333,129,15,33848,3,4,4,11,Bronze
328,334,82,53,561920,3,2,1,6,Gold
329,335,23,197,2709712,2,1,1,4,Platinum
330,336,236,63,613410,4,2,1,7,Gold
331,337,282,3,1956,4,4,4,12,Bronze
332,338,87,4,21072,3,4,4,11,Bronze
333,339,16,365,551253,1,1,1,3,Platinum
334,340,117,97,375967,3,2,1,6,Gold
335,341,53,92,178480,3,2,2,7,Gold
336,342,8,67,226818,1,2,1,4,Platinum
337,343,141,18,62484,3,3,3,9,Silver
338,344,317,45,186675,4,2,2,8,Gold
339,345,4,306,822597,1,1,1,3,Platinum
340,346,239,32,132446,4,3,2,9,Silver
341,347,212,12,178814,4,4,2,10,Silver
342,348,60,54,103103,3,2,2,7,Gold
343,349,19,61,170308,1,2,2,5,Platinum
344,350,20,44,117303,2,2,2,6,Gold
345,351,38,149,494826,2,1,1,4,Platinum
346,352,64,24,103856,3,3,2,8,Gold
347,353,5,98,242916,1,2,1,4,Platinum
348,354,3,78,161072,1,2,2,5,Platinum
349,355,16,58,67068,1,2,3,6,Gold
350,356,365,13,31331,4,4,4,12,Bronze
351,357,12,17,57822,1,4,3,8,Gold
352,358,69,3,7771,3,4,4,11,Bronze
353,359,193,20,38140,4,3,4,11,Bronze
354,360,375,1,27360,4,4,4,12,Bronze
355,361,257,24,45942,4,3,3,10,Silver
356,362,335,22,63051,4,3,3,10,Silver
357,363,54,45,116840,3,2,2,7,Gold
358,364,19,13,34491,1,4,4,9,Silver
359,365,369,12,27371,4,4,4,12,Bronze
360,366,173,6,267792,4,4,1,9,Silver
361,367,187,24,53246,4,3,3,10,Silver
362,368,40,27,55433,2,3,3,8,Gold
363,369,178,24,49030,4,3,3,10,Silver
364,370,263,28,57589,4,3,3,10,Silver
365,371,45,15,32596,2,4,4,10,Silver
366,372,103,1,11952,3,4,4,11,Bronze
367,373,149,45,106741,4,2,2,8,Gold
368,374,96,27,51582,3,3,3,9,Silver
369,375,284,3,15336,4,4,4,12,Bronze
370,376,262,13,149350,4,4,2,10,Silver
371,377,4,59,130678,1,2,2,5,Platinum
372,378,216,6,12198,4,4,4,12,Bronze
373,379,72,46,124896,3,2,2,7,Gold
374,380,80,5,187830,3,4,2,9,Silver
375,381,60,25,51028,3,3,3,9,Silver
376,382,3,91,195875,1,2,2,5,Platinum
377,383,9,25,56419,1,3,3,7,Gold
378,384,6,56,125062,1,2,2,5,Platinum
379,385,337,11,51269,4,4,3,11,Bronze
380,386,40,36,1028696,2,3,1,6,Gold
381,387,263,9,28791,4,4,4,12,Bronze
382,388,33,27,48021,2,3,3,8,Gold
383,389,146,24,49573,4,3,3,10,Silver
384,390,283,18,37240,4,3,4,11,Bronze
385,391,60,175,315762,3,1,1,5,Platinum
386,392,174,12,14774,4,4,4,12,Bronze
387,393,34,123,86503,2,1,2,5,Platinum
388,394,3,314,752717,1,1,1,3,Platinum
389,395,144,113,352477,4,1,1,6,Gold
390,396,5,420,548440,1,1,1,3,Platinum
391,397,71,34,140634,3,3,2,8,Gold
392,398,74,103,208013,3,1,2,6,Gold
393,399,30,52,39466,2,2,3,7,Gold
394,400,271,27,43628,4,3,3,10,Silver
395,401,23,91,127997,2,2,2,6,Gold
396,402,32,49,134920,2,2,2,6,Gold
397,403,97,50,18150,3,2,4,9,Silver
398,404,295,17,39266,4,4,4,12,Bronze
399,405,135,78,233792,3,2,1,6,Gold
400,406,80,110,163559,3,1,2,6,Gold
401,407,373,3,4728,4,4,4,12,Bronze
402,408,8,314,277211,1,1,1,3,Platinum
403,409,211,46,123904,4,2,2,8,Gold
404,410,54,5,61048,3,4,3,10,Silver
405,411,140,3,31152,3,4,4,11,Bronze
406,412,27,95,206761,2,2,2,6,Gold
407,413,284,25,59304,4,3,3,10,Silver
408,414,27,538,630043,2,1,1,4,Platinum
409,415,186,107,208612,4,1,2,7,Gold
410,417,85,11,44518,3,4,3,10,Silver
411,418,327,66,73421,4,2,3,9,Silver
412,419,283,4,44744,4,4,3,11,Bronze
413,420,150,1,30846,4,4,4,12,Bronze
414,421,58,83,308777,3,2,1,6,Gold
415,422,4,154,214162,1,1,1,3,Platinum
416,423,237,47,115511,4,2,2,8,Gold
417,424,47,10,72222,2,4,3,9,Silver
418,425,276,7,30694,4,4,4,12,Bronze
419,426,10,13,156624,1,4,2,7,Gold
420,427,25,42,78180,2,2,3,7,Gold
421,428,89,7,32195,3,4,4,11,Bronze
422,429,64,71,154990,3,2,2,7,Gold
423,430,68,82,176674,3,2,2,7,Gold
424,431,220,5,39880,4,4,3,11,Bronze
425,432,25,82,49953,2,2,3,7,Gold
426,433,191,3,76050,4,4,3,11,Bronze
427,434,31,34,23974,2,3,4,9,Silver
428,435,45,22,48139,2,3,3,8,Gold
429,436,205,4,27084,4,4,4,12,Bronze
430,437,14,107,1296156,1,1,1,3,Platinum
431,438,267,10,17244,4,4,4,12,Bronze
432,439,19,72,67161,1,2,3,6,Gold
433,440,12,63,373610,1,2,1,4,Platinum
434,441,185,2,132600,4,4,2,10,Silver
435,442,40,91,284709,2,2,1,5,Platinum
436,443,25,75,393252,2,2,1,5,Platinum
437,444,7,24,197798,1,3,2,6,Gold
438,445,5,50,314931,1,2,1,4,Platinum
439,446,149,22,39997,4,3,3,10,Silver
440,447,139,107,354411,3,1,1,5,Platinum
441,448,131,2,68520,3,4,3,10,Silver
442,449,10,50,168147,1,2,2,5,Platinum
443,450,18,28,23752,1,3,4,8,Gold
444,451,10,720,2133743,1,1,1,3,Platinum
445,452,162,28,53858,4,3,3,10,Silver
446,453,65,28,20657,3,3,4,10,Silver
447,454,89,29,113428,3,3,2,8,Gold
448,455,5,45,90726,1,2,2,5,Platinum
449,456,37,84,297164,2,2,1,5,Platinum
450,457,312,8,13523,4,4,4,12,Bronze
451,458,79,25,55359,3,3,3,9,Silver
452,459,22,69,3224042,2,2,1,5,Platinum
453,460,25,106,83101,2,1,3,6,Gold
454,461,3,129,307571,1,1,1,3,Platinum
455,462,18,62,141502,1,2,2,5,Platinum
456,463,16,120,200553,1,1,2,4,Platinum
457,464,27,9,19458,2,4,4,10,Silver
458,465,66,47,1406976,3,2,1,6,Gold
459,466,55,99,109997,3,2,2,7,Gold
460,467,132,75,77673,3,2,3,8,Gold
461,469,36,30,73898,2,3,3,8,Gold
462,470,289,23,56428,4,3,3,10,Silver
463,471,145,97,218908,4,2,1,7,Gold
464,472,17,116,267713,1,1,1,3,Platinum
465,473,31,215,543889,2,1,1,4,Platinum
466,474,3,23,235382,1,3,1,5,Platinum
467,475,10,63,129620,1,2,2,5,Platinum
468,476,6,79,171197,1,2,2,5,Platinum
469,477,10,17,38045,1,4,4,9,Silver
470,478,2,180,666300,1,1,1,3,Platinum
471,479,307,19,12774,4,3,4,11,Bronze
472,480,10,238,520996,1,1,1,3,Platinum
473,481,8,16,34125,1,4,4,9,Silver
474,482,9,95,231113,1,2,1,4,Platinum
475,483,90,109,94209,3,1,2,6,Gold
476,484,11,10,19526,1,4,4,9,Silver
477,485,364,19,192206,4,3,2,9,Silver
478,486,113,5,17062,3,4,4,11,Bronze
479,487,8,151,60410,1,1,3,5,Platinum
480,488,5,305,1610541,1,1,1,3,Platinum
481,489,198,8,15351,4,4,4,12,Bronze
482,490,212,22,106980,4,3,2,9,Silver
483,491,158,9,4438,4,4,4,12,Bronze
484,492,165,20,772662,4,3,1,8,Gold
485,493,30,20,52852,2,3,3,8,Gold
486,494,243,28,52752,4,3,3,10,Silver
487,495,21,4,10454,2,4,4,10,Silver
488,496,1,76,220970,1,2,1,4,Platinum
489,497,74,28,70316,3,3,3,9,Silver
490,498,293,92,60365,4,2,3,9,Silver
491,499,6,63,696022,1,2,1,4,Platinum
492,500,35,13,48380,2,4,3,9,Silver
493,501,24,31,70444,2,3,3,8,Gold
494,502,25,27,53197,2,3,3,8,Gold
495,503,5,61,118755,1,2,2,5,Platinum
496,504,89,3,27288,3,4,4,11,Bronze
497,505,23,59,156353,2,2,2,6,Gold
498,506,197,28,63967,4,3,3,10,Silver
499,507,109,31,69528,3,3,3,9,Silver
500,508,6,339,1300739,1,1,1,3,Platinum
501,509,320,7,16994,4,4,4,12,Bronze
502,510,109,6,19676,3,4,4,11,Bronze
503,511,12,404,800183,1,1,1,3,Platinum
504,512,174,26,60476,4,3,3,10,Silver
505,513,57,4,10097,3,4,4,11,Bronze
506,514,324,14,32853,4,4,4,12,Bronze
507,515,375,3,5701,4,4,4,12,Bronze
508,516,10,89,212994,1,2,1,4,Platinum
509,517,3,219,581263,1,1,1,3,Platinum
510,518,11,110,394009,1,1,1,3,Platinum
511,519,54,176,425084,3,1,1,5,Platinum
512,520,74,47,105968,3,2,2,7,Gold
513,521,10,1,23040,1,4,4,9,Silver
514,522,18,458,1009377,1,1,1,3,Platinum
515,523,5,131,337026,1,1,1,3,Platinum
516,524,65,38,70742,3,3,3,9,Silver
517,525,2,40,185880,1,3,2,6,Gold
518,526,119,19,834000,3,3,1,7,Gold
519,527,23,45,104796,2,2,2,6,Gold
520,528,35,10,132814,2,4,2,8,Gold
521,529,12,99,100562,1,2,2,5,Platinum
522,530,53,71,118006,3,2,2,7,Gold
523,531,358,11,24175,4,4,4,12,Bronze
524,532,55,37,82142,3,3,3,9,Silver
525,533,74,27,128518,3,3,2,8,Gold
526,534,139,48,109939,3,2,2,7,Gold
527,535,81,28,108902,3,3,2,8,Gold
528,536,9,43,88356,1,2,2,5,Platinum
529,537,276,13,67660,4,4,3,11,Bronze
530,538,292,33,75834,4,3,3,10,Silver
531,539,100,18,41435,3,3,3,9,Silver
532,540,31,35,75897,2,3,3,8,Gold
533,541,57,171,402445,3,1,1,5,Platinum
534,542,16,136,247682,1,1,1,3,Platinum
535,543,67,14,82962,3,4,3,10,Silver
536,544,15,402,773970,1,1,1,3,Platinum
537,545,213,18,46836,4,3,3,10,Silver
538,546,79,76,168041,3,2,2,7,Gold
539,547,29,8,29432,2,4,4,10,Silver
540,548,250,8,20052,4,4,4,12,Bronze
541,549,255,15,35544,4,4,4,12,Bronze
542,550,73,10,29825,3,4,4,11,Bronze
543,551,192,11,43666,4,4,3,11,Bronze
544,552,13,69,134493,1,2,2,5,Platinum
545,553,374,14,23751,4,4,4,12,Bronze
546,554,25,48,64095,2,2,3,7,Gold
547,555,83,15,13569,3,4,4,11,Bronze
548,556,13,2,48200,1,4,3,8,Gold
549,557,1,425,681332,1,1,1,3,Platinum
550,558,194,9,29490,4,4,4,12,Bronze
551,559,268,7,20586,4,4,4,12,Bronze
552,560,130,22,111700,3,3,2,8,Gold
553,561,2,112,106117,1,1,2,4,Platinum
554,562,4,358,1520127,1,1,1,3,Platinum
555,563,8,6,25582,1,4,4,9,Silver
556,564,183,6,12288,4,4,4,12,Bronze
557,565,12,1028,3822541,1,1,1,3,Platinum
558,566,129,72,484681,3,2,1,6,Gold
559,567,6,18,40408,1,3,3,7,Gold
560,568,158,22,50639,4,3,3,10,Silver
561,569,5,1818,7480449,1,1,1,3,Platinum
562,570,10,154,1004918,1,1,1,3,Platinum
563,571,29,21,56354,2,3,3,8,Gold
564,572,71,25,59507,3,3,3,9,Silver
565,573,279,159,982668,4,1,1,6,Gold
566,574,27,24,285738,2,3,1,6,Gold
567,575,71,6,16392,3,4,4,11,Bronze
568,576,33,423,726857,2,1,1,4,Platinum
569,577,2,572,3679515,1,1,1,3,Platinum
570,578,108,1,39456,3,4,3,10,Silver
571,579,239,8,16092,4,4,4,12,Bronze
572,580,5,304,852787,1,1,1,3,Platinum
573,581,41,8,29308,2,4,4,10,Silver
574,582,6,20,136536,1,3,2,6,Gold
575,583,135,1,9216,3,4,4,11,Bronze
576,584,47,58,216469,2,2,1,5,Platinum
577,585,373,10,52288,4,4,3,11,Bronze
578,586,60,47,104402,3,2,2,7,Gold
579,587,33,145,168187,2,1,2,5,Platinum
580,588,1,200,1192888,1,1,1,3,Platinum
581,589,12,120,313154,1,1,1,3,Platinum
582,590,140,30,61584,3,3,3,9,Silver
583,591,24,76,143247,2,2,2,6,Gold
584,592,20,79,136583,2,2,2,6,Gold
585,593,246,1,4212,4,4,4,12,Bronze
586,594,270,50,39881,4,2,3,9,Silver
587,595,103,55,122263,3,2,2,7,Gold
588,596,90,235,490319,3,1,1,5,Platinum
